Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
UNIONBANK,23.786447638603697,0.12956764716109448,0.36018313816260816,-0.9340469092601342,0.14315091018996262,0.38361231751231556,-0.5797702322249372,Union Bank of India,Financial Services
SCHNEIDER,14.299794661190965,0.2502177465441955,0.5841913016028929,-0.7344570790428001,0.14334715125576225,0.383427539063431,-0.788890077233861,Schneider Electric Infrastructure Ltd.,Capital Goods
KPIL,24.019164955509925,0.7985334437701663,0.4203343007782455,-0.9497284001139212,0.7495730331848376,0.3829491760956089,-0.9497284001139212,Kalpataru Projects International Ltd.,Construction
LICHSGFIN,24.019164955509925,0.18083649134375612,0.46191107362199146,-0.7445685821926966,0.13942535769647368,0.38078975037872936,-0.47053707722574534,LIC Housing Finance Ltd.,Financial Services
TATACOMM,24.019164955509925,0.16431470478263988,0.4233265089506118,-0.7950649512567777,0.14327269682570454,0.3799570478617619,-0.7790768774482929,Tata Communications Ltd.,Telecommunication
SCHAEFFLER,24.019164955509925,0.28796684126814087,0.425176701811539,-0.8031162132947631,0.2501275564260306,0.3798611543589983,-0.7999999844323801,Schaeffler India Ltd.,Automobile and Auto Components
ELECON,19.772758384668034,0.06699088733299452,0.32426563101524375,-0.9492451184778677,0.14245928994936508,0.3795405415529787,-0.687762704068344,Elecon Engineering Co. Ltd.,Capital Goods
TIMKEN,23.904175222450377,0.22182214677001766,0.314752042606251,-0.6938286988085894,0.14059541225957117,0.379374508170263,-0.3990767447951805,Timken India Ltd.,Capital Goods
ZENSARTECH,24.019164955509925,0.191148504990712,0.3746140487717324,-0.959839909467468,0.22652952528383818,0.3705128743024881,-0.8770515126886196,Zensar Technolgies Ltd.,Information Technology
APOLLOHOSP,24.019164955509925,0.23638162128771345,0.6146711451510776,-0.3942230814045721,0.13509611352595075,0.3699502837190159,-0.6861363673478432,Apollo Hospitals Enterprise Ltd.,Healthcare
SJVN,16.134154688569474,0.12142070215308953,0.32780192919913514,-0.5729578490196059,0.13020081590000898,0.3689298792520981,-0.32191207697570345,SJVN Ltd.,Power
BDL,8.292950034223136,0.28284359673802295,0.6470796135745427,-0.593160361659313,0.13778487240059567,0.3687996766960776,-0.5084882030009276,Bharat Dynamics Ltd.,Capital Goods
GODREJPROP,16.503764544832308,0.13648673164472402,0.3671365032198194,-0.5950735206827431,0.130261594539969,0.3654905801895525,-0.41036395160204553,Godrej Properties Ltd.,Realty
NH,10.50239561943874,0.1855725387791649,0.5061983642286016,-0.48632597973804925,0.1297032722411975,0.36519710980124126,-0.4765521753366556,Narayana Hrudayalaya Ltd.,Healthcare
ARE&M,24.019164955509925,0.24436268801559646,0.39232082587101086,-0.8552294597168044,0.2232963557045602,0.3554113137988131,-0.825219026095996,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
SCI,24.019164955509925,0.08995634079226278,0.2859751494466316,-0.8603111893732571,0.13228667501738567,0.35266147856349017,-0.5667683843973632,Shipping Corporation of India Ltd.,Services
MARUTI,22.99794661190965,0.22116561564828263,0.5957164214939403,-0.6104874387112798,0.1218473009971428,0.3508742486299521,-0.5620622405624984,Maruti Suzuki India Ltd.,Automobile and Auto Components
SOBHA,19.548254620123203,0.03439485339281334,0.1657122530127771,-0.9287386410492463,0.12988650675585522,0.3498561587931767,-0.5002239878017115,Sobha Ltd.,Realty
VOLTAS,24.019164955509925,0.4658637091261193,0.36431664922948337,-0.8743238567045575,0.46873522266026213,0.34980716890295227,-0.47510112661835957,Voltas Ltd.,Consumer Durables
MAHABANK,22.236824093086927,0.061095604913723234,0.19366866119744927,-0.8818133074279053,0.12852395353434898,0.3489177119752225,-0.6641601977951757,Bank of Maharashtra,Financial Services
TRITURBINE,14.694045174537989,0.21900869494524455,0.5324342987540153,-0.6817150628904767,0.12972988084513637,0.3486743596289739,-0.6748618307902055,Triveni Turbine Ltd.,Capital Goods
