Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
POLYCAB,7.227926078028747,0.4514641880540118,1.069467864688915,-0.49828916449014915,0.27265610995122724,0.7953548763749416,-0.3523552852043986,Polycab India Ltd.,Capital Goods
APLAPOLLO,14.565366187542779,0.4049805799183015,0.9210614578608856,-0.574069608176122,0.28312826077237596,0.7651150941301592,-0.49723860611262694,APL Apollo Tubes Ltd.,Capital Goods
TIINDIA,8.678986995208762,0.32142045532775243,0.7604469422124809,-0.5418372917256322,0.2839065829870637,0.758189435502688,-0.31229829714085877,Tube Investments of India Ltd.,Automobile and Auto Components
BHARATFORG,26.510609171800137,0.17839983715930585,0.4435303816619407,-0.8837748699421024,0.3103893901510175,0.751443168024016,-0.571095597214335,Bharat Forge Ltd.,Automobile and Auto Components
ASTRAL,19.301848049281315,0.34351864744158456,0.7918291475144255,-0.8608774307824012,0.27063507890392335,0.7437931277900829,-0.4573109233930781,Astral Ltd.,Capital Goods
BLUESTARCO,24.019164955509925,0.27842418869860963,0.6474081236721146,-0.7598507027935304,0.3025376975709071,0.7348591912643617,-0.5073530558498116,Blue Star Ltd.,Consumer Durables
APARINDS,21.987679671457904,0.33287517263125666,0.7173799763022146,-0.8255936402657159,0.28347332723102725,0.6975289047671898,-0.5931103300390714,Apar Industries Ltd.,Capital Goods
BALKRISIND,20.4435318275154,0.16691352930942505,0.43692459545657636,-0.886315928241803,0.2381141249041112,0.685142361633136,-0.38925134934856054,Balkrishna Industries Ltd.,Automobile and Auto Components
PAGEIND,19.312799452429843,0.31646261829916766,0.7983274445581732,-0.5321534866532334,0.22787617960226525,0.6723124868380534,-0.4854950260602695,Page Industries Ltd.,Textiles
AJANTPHARM,24.019164955509925,0.33301212966662375,0.7323368960756164,-0.6169366810735539,0.2703079192082636,0.6702667945390772,-0.7326489269250906,Ajanta Pharmaceuticals Ltd.,Healthcare
JKCEMENT,20.317590691307323,0.20750687558182745,0.5345802313567829,-0.853904465490109,0.22781791822808883,0.6700837717388695,-0.45463369274821597,J.K. Cement Ltd.,Construction Materials
AUROPHARMA,26.510609171800137,0.1344463335654904,0.3746647845300819,-0.9283620555090835,0.26174668078160757,0.6636711647975436,-0.6395146000481882,Aurobindo Pharma Ltd.,Healthcare
IRCTC,6.7323750855578375,0.21019721616631992,0.5391112447580808,-0.5822638259426629,0.22094255391109185,0.6540706486353585,-0.43489755417501086,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
SUPREMEIND,24.019164955509925,0.35342164796585873,0.7157379075063245,-0.7463833446976879,0.2995607460297267,0.650871522521862,-0.5264679986552694,Supreme Industries Ltd.,Capital Goods
COCHINSHIP,8.906228610540726,0.2415549910391488,0.5807028525813104,-0.6014039165226268,0.24740721185924164,0.6503241994322081,-0.5063763469007883,Cochin Shipyard Ltd.,Capital Goods
FLUOROCHEM,6.7268993839835725,0.28549088545881274,0.6716885268478965,-0.6691526438691671,0.23893514951773653,0.6484722358094862,-0.5251677718107106,Gujarat Fluorochemicals Ltd.,Chemicals
KEI,20.292950034223136,0.2374989216974488,0.5533307415474596,-0.9532285472433569,0.266265727254138,0.6473223694306104,-0.7400337915472035,KEI Industries Ltd.,Capital Goods
GODREJIND,24.019164955509925,0.2973491956353629,0.6692322586513593,-0.8992766858198421,0.2556724578015097,0.6462069683876918,-0.5795295891404209,Godrej Industries Ltd.,Diversified
UNOMINDA,19.42778918548939,0.3206088146893775,0.69152053793238,-0.7582762796718836,0.2528953885460681,0.6383021679340898,-0.5466517093401142,UNO Minda Ltd.,Automobile and Auto Components
NAM-INDIA,8.668035592060233,0.21181681397302055,0.5288518721582869,-0.5802035332873896,0.22183092428535267,0.6272601896582803,-0.4235766904626509,Nippon Life India Asset Management Ltd.,Financial Services
MRF,24.019164955509925,0.2367645200250339,0.6208937279090262,-0.8097669042330778,0.21095047694500724,0.6107891933369385,-0.5219543772235844,MRF Ltd.,Automobile and Auto Components
FEDERALBNK,26.510609171800137,0.2514736256228478,0.6057629657743568,-0.6972618792845603,0.22509403665464522,0.6069770677241662,-0.4431879531007321,Federal Bank Ltd.,Financial Services
TATAELXSI,24.019164955509925,0.2126373211139656,0.5038633998095069,-0.7918435653451796,0.2548817022941774,0.604472024919748,-0.678566451189909,Tata Elxsi Ltd.,Information Technology
EXIDEIND,24.019164955509925,0.2300424764159974,0.5901870340357881,-0.5881719088408317,0.2080181357187998,0.5959143133061086,-0.4651043046318789,Exide Industries Ltd.,Automobile and Auto Components
COFORGE,21.853524982888434,0.23103566997330338,0.5563286999021145,-0.8849914946535856,0.21850461106928387,0.5777937015324096,-0.4587861965370815,Coforge Ltd.,Information Technology
SUNDARMFIN,24.019164955509925,0.26448852062213857,0.691243744363498,-0.6356692045445692,0.20001210533303437,0.5740210644424116,-0.5504565294473482,Sundaram Finance Ltd.,Financial Services
BERGEPAINT,24.019164955509925,0.34237012662671473,0.7337921832549379,-0.5784106650377251,0.23824345809504832,0.5644657129131804,-0.4896559247392306,Berger Paints India Ltd.,Consumer Durables
GLENMARK,24.019164955509925,0.4503829892156668,0.4156734042755708,-0.949612970035099,0.4389279873059506,0.563308054094063,-0.7984931212016984,Glenmark Pharmaceuticals Ltd.,Healthcare
